3123401.551,,,,INITIAL,0,3123401.551,0,0
3123401.551,29,0,,,1,3123401.551,29,0
3123401.551,0,0,,,2,3232236.011,0,137
3232236.011,0,137,,,3,3301029.802,3,124
3232236.011,0,137,,,5,3349611.804,10,79
3301029.802,0,124,,,6,3367636.799,4,63
3301029.802,3,124,,,7,3376069.686,7,47
3301029.802,0,124,,,8,3383903.818,2,24
3349611.804,0,79,,,9,3387362.045,0,15
3349611.804,10,79,,,10,3390622.667,0,8
3349611.804,0,79,,,11,3392550.776,0,3
3367636.799,0,63,,,12,3393900.864,3,3
3367636.799,4,63,,,13,3395037.221,0,2
3367636.799,0,63,,,14,3395280.332,0,1
3376069.686,0,47,,,15,3399056.332,0,1
3376069.686,7,47,,B&B,16,3407336.43,0,8
3376069.686,0,47,,,17,3408229.43,0,4
3383903.818,0,24,,,18,3408769.43,0,0
3383903.818,2,24,,,,,,
3383903.818,0,24,,,,,,
3387362.045,0,15,,,,,,
3387362.045,0,15,,,,,,
3390622.667,0,8,,,,,,
3390622.667,0,8,,,,,,
3392550.776,0,3,,,,,,
3392550.776,0,3,,,,,,
3393900.864,0,3,,,,,,
3393900.864,3,3,,,,,,
3393900.864,0,3,,,,,,
3395037.221,0,2,,,,,,
3395037.221,0,2,,,,,,
3395280.332,0,1,,,,,,
3395280.332,0,1,,,,,,
3399056.332,0,1,,,,,,
3399056.332,0,1,,,,,,
3407336.43,,8,,,,,,
3408229.43,,4,,,,,,
3408769.43,,0,,,,,,
