"From","To","Distance","Seats","Passengers","ASK","RPK","cost","revenue","RASK","CASK","Yield"
"0.0","1.0","347.276462118","1315.0","849.0","456668.547685","294837.716338","23423.2701827","33072.9314431","0.0724221793043","0.0512916212456","0.112173340147"
"0.0","2.0","370.565116243","770.0","567.0","285335.139507","210110.42091","13825.7976475","22869.219142","0.0801486251623","0.0484545915775","0.108843811949"
"0.0","3.0","654.965103089","450.0","237.0","294734.29639","155226.729432","10025.3351177","13304.4316531","0.0451404258551","0.0340148236582","0.0857096693451"
"0.0","4.0","1246.34140406","150.0","112.0","186951.210609","139590.237254","5569.06386062","9658.52106478","0.0516633245291","0.0297888622517","0.0691919524943"
"0.0","5.0","1148.07314756","195.0","146.0","223874.263775","167618.679544","7432.07458573","11880.62238","0.0530682811847","0.0331975389239","0.0708788687055"
"0.0","6.0","941.87583354","750.0","261.0","706406.875155","245829.592554","22111.8147163","18536.8686334","0.0262410648669","0.031301811313","0.0754053588128"
"0.0","7.0","1444.34045098","600.0","174.0","866604.270588","251315.238471","25259.130496","16691.2231441","0.019260490296","0.0291472490424","0.0664154837792"
"0.0","8.0","449.394790402","690.0","513.0","310082.405377","230539.527476","12359.208305","23023.1215918","0.0742483971763","0.0398578187304","0.0998662652079"
"0.0","9.0","1462.99720209","150.0","112.0","219449.580314","163855.686635","6385.04907016","10845.3122361","0.0494205193768","0.0290957451868","0.0661881955939"
"0.0","10.0","1564.42159468","70.0","52.0","109509.511628","81349.9229236","3791.2013478","5290.71634348","0.0483128475767","0.0346198361351","0.065036525584"
"0.0","11.0","947.541865665","740.0","409.0","701180.980592","387544.623057","22698.5624717","29165.8270307","0.0415952911416","0.0323719026898","0.0752579839726"
"0.0","12.0","1848.53575712","70.0","52.0","129397.502998","96123.8593702","4403.44426913","5999.25033924","0.0463629529181","0.0340303650928","0.0624116673898"
"0.0","13.0","1470.0660222","150.0","88.0","220509.903329","129365.809953","6411.67218713","8551.52068046","0.0387806649558","0.0290765724819","0.0661034061747"
"0.0","14.0","533.69778722","280.0","208.0","149435.380422","111009.139742","6280.30136558","10312.8378612","0.0690120226686","0.0420268703962","0.0929007997462"
"0.0","15.0","2104.45588178","300.0","54.0","631336.764534","113640.617616","17601.9170891","6885.48458304","0.0109061993057","0.027880392966","0.0605899961429"
"0.0","16.0","2715.52870057","150.0","13.0","407329.305085","35301.8731074","11102.4265256","2029.56862647","0.00498262364414","0.0272566358153","0.0574918112785"
"0.0","17.0","1895.5875421","70.0","49.0","132691.127947","92883.789563","4504.83704042","5762.91652564","0.043431061404","0.0339497983785","0.0620443734343"
"0.0","18.0","1834.81510775","150.0","63.0","275222.266162","115593.351788","7785.4173705","7227.11480793","0.0262591937372","0.0282877453161","0.0625218898505"
"0.0","20.0","5541.3878251","2700.0","1108.0","14961747.1278","6139857.71021","391416.978863","306992.885511","0.0205185185185","0.0261611812792","0.05"
"0.0","21.0","7764.63771571","320.0","253.0","2484684.06903","1964453.34207","71071.1124872","98222.6671037","0.03953125","0.0286036818013","0.05"
"0.0","22.0","8762.40861993","640.0","448.0","5607941.51675","3925559.06173","160047.969312","196277.953086","0.035","0.0285395218252","0.05"
"1.0","0.0","347.276462118","1315.0","849.0","456668.547685","294837.716338","23423.2701827","33072.9314431","0.0724221793043","0.0512916212456","0.112173340147"
"1.0","17.0","2241.77904181","0.0","2.0","0.0","4483.55808362","0.0","267.959489269","0.0","0.0","0.0597649197962"
"1.0","20.0","5835.48553517","0.0","135.0","0.0","787790.547248","0.0","39389.5273624","0.0","0.0","0.05"
"2.0","0.0","370.565116243","770.0","567.0","285335.139507","210110.42091","13825.7976475","22869.219142","0.0801486251623","0.0484545915775","0.108843811949"
"2.0","16.0","2481.71369628","0.0","1.0","0.0","2481.71369628","0.0","145.2253645","0.0","0.0","0.0585181782724"
"2.0","20.0","5849.36360098","0.0","9.0","0.0","52644.2724089","0.0","2632.21362044","0.0","0.0","0.05"
"3.0","0.0","654.965103089","450.0","237.0","294734.29639","155226.729432","10025.3351177","13304.4316531","0.0451404258551","0.0340148236582","0.0857096693451"
"3.0","20.0","6191.38552027","0.0","100.0","0.0","619138.552027","0.0","30956.9276013","0.0","0.0","0.05"
"4.0","0.0","1246.34140406","150.0","112.0","186951.210609","139590.237254","5569.06386062","9658.52106478","0.0516633245291","0.0297888622517","0.0691919524943"
"5.0","0.0","1148.07314756","195.0","146.0","223874.263775","167618.679544","7432.07458573","11880.62238","0.0530682811847","0.0331975389239","0.0708788687055"
"6.0","0.0","941.87583354","750.0","261.0","706406.875155","245829.592554","22111.8147163","18536.8686334","0.0262410648669","0.031301811313","0.0754053588128"
"6.0","20.0","6483.09510154","0.0","301.0","0.0","1951411.62556","0.0","97570.5812781","0.0","0.0","0.05"
"7.0","0.0","1444.34045098","600.0","174.0","866604.270588","251315.238471","25259.130496","16691.2231441","0.019260490296","0.0291472490424","0.0664154837792"
"7.0","20.0","6867.86120171","0.0","253.0","0.0","1737568.88403","0.0","86878.4442017","0.0","0.0","0.05"
"7.0","22.0","10206.263738","0.0","23.0","0.0","234744.065974","0.0","11737.2032987","0.0","0.0","0.05"
"8.0","0.0","449.394790402","690.0","513.0","310082.405377","230539.527476","12359.208305","23023.1215918","0.0742483971763","0.0398578187304","0.0998662652079"
"8.0","16.0","3164.92101871","0.0","4.0","0.0","12659.6840748","0.0","707.671269085","0.0","0.0","0.0558995994609"
"9.0","0.0","1462.99720209","150.0","112.0","219449.580314","163855.686635","6385.04907016","10845.3122361","0.0494205193768","0.0290957451868","0.0661881955939"
"10.0","0.0","1564.42159468","70.0","52.0","109509.511628","81349.9229236","3791.2013478","5290.71634348","0.0483128475767","0.0346198361351","0.065036525584"
"11.0","0.0","947.541865665","740.0","409.0","701180.980592","387544.623057","22698.5624717","29165.8270307","0.0415952911416","0.0323719026898","0.0752579839726"
"11.0","20.0","6369.74464486","0.0","146.0","0.0","929982.71815","0.0","46499.1359075","0.0","0.0","0.05"
"12.0","0.0","1848.53575712","70.0","52.0","129397.502998","96123.8593702","4403.44426913","5999.25033924","0.0463629529181","0.0340303650928","0.0624116673898"
"13.0","0.0","1470.0660222","150.0","88.0","220509.903329","129365.809953","6411.67218713","8551.52068046","0.0387806649558","0.0290765724819","0.0661034061747"
"13.0","20.0","6849.91126528","0.0","24.0","0.0","164397.870367","0.0","8219.89351833","0.0","0.0","0.05"
"14.0","0.0","533.69778722","280.0","208.0","149435.380422","111009.139742","6280.30136558","10312.8378612","0.0690120226686","0.0420268703962","0.0929007997462"
"14.0","16.0","3148.23037994","0.0","2.0","0.0","6296.46075989","0.0","352.296686637","0.0","0.0","0.055951541679"
"15.0","0.0","2104.45588178","300.0","54.0","631336.764534","113640.617616","17601.9170891","6885.48458304","0.0109061993057","0.027880392966","0.0605899961429"
"15.0","20.0","7633.11674113","0.0","170.0","0.0","1297629.84599","0.0","64881.4922996","0.0","0.0","0.05"
"15.0","22.0","10580.1550794","0.0","1.0","0.0","10580.1550794","0.0","529.007753972","0.0","0.0","0.05"
"16.0","0.0","2715.52870057","150.0","13.0","407329.305085","35301.8731074","11102.4265256","2029.56862647","0.00498262364414","0.0272566358153","0.0574918112785"
"16.0","2.0","2481.71369628","0.0","1.0","0.0","2481.71369628","0.0","145.2253645","0.0","0.0","0.0585181782724"
"16.0","8.0","3164.92101871","0.0","4.0","0.0","12659.6840748","0.0","707.671269085","0.0","0.0","0.0558995994609"
"16.0","14.0","3148.23037994","0.0","2.0","0.0","6296.46075989","0.0","352.296686637","0.0","0.0","0.055951541679"
"16.0","17.0","4506.67816767","0.0","1.0","0.0","4506.67816767","0.0","238.227522652","0.0","0.0","0.0528610017821"
"16.0","20.0","8199.87367255","0.0","49.0","0.0","401793.809955","0.0","20089.6904977","0.0","0.0","0.05"
"16.0","21.0","10454.865116","0.0","19.0","0.0","198642.437204","0.0","9932.12186018","0.0","0.0","0.05"
"16.0","22.0","11435.0824856","0.0","23.0","0.0","263006.897169","0.0","13150.3448584","0.0","0.0","0.05"
"17.0","0.0","1895.5875421","70.0","49.0","132691.127947","92883.789563","4504.83704042","5762.91652564","0.043431061404","0.0339497983785","0.0620443734343"
"17.0","1.0","2241.77904181","0.0","2.0","0.0","4483.55808362","0.0","267.959489269","0.0","0.0","0.0597649197962"
"17.0","16.0","4506.67816767","0.0","1.0","0.0","4506.67816767","0.0","238.227522652","0.0","0.0","0.0528610017821"
"18.0","0.0","1834.81510775","150.0","63.0","275222.266162","115593.351788","7785.4173705","7227.11480793","0.0262591937372","0.0282877453161","0.0625218898505"
"18.0","22.0","10583.7204973","0.0","49.0","0.0","518602.304367","0.0","25930.1152183","0.0","0.0","0.05"
"20.0","0.0","5541.3878251","2700.0","1108.0","14961747.1278","6139857.71021","391416.978863","306992.885511","0.0205185185185","0.0261611812792","0.05"
"20.0","1.0","5835.48553517","0.0","135.0","0.0","787790.547248","0.0","39389.5273624","0.0","0.0","0.05"
"20.0","2.0","5849.36360098","0.0","9.0","0.0","52644.2724089","0.0","2632.21362044","0.0","0.0","0.05"
"20.0","3.0","6191.38552027","0.0","100.0","0.0","619138.552027","0.0","30956.9276013","0.0","0.0","0.05"
"20.0","6.0","6483.09510154","0.0","301.0","0.0","1951411.62556","0.0","97570.5812781","0.0","0.0","0.05"
"20.0","7.0","6867.86120171","0.0","253.0","0.0","1737568.88403","0.0","86878.4442017","0.0","0.0","0.05"
"20.0","11.0","6369.74464486","0.0","146.0","0.0","929982.71815","0.0","46499.1359075","0.0","0.0","0.05"
"20.0","13.0","6849.91126528","0.0","24.0","0.0","164397.870367","0.0","8219.89351833","0.0","0.0","0.05"
"20.0","15.0","7633.11674113","0.0","170.0","0.0","1297629.84599","0.0","64881.4922996","0.0","0.0","0.05"
"20.0","16.0","8199.87367255","0.0","49.0","0.0","401793.809955","0.0","20089.6904977","0.0","0.0","0.05"
"21.0","0.0","7764.63771571","320.0","253.0","2484684.06903","1964453.34207","71071.1124872","98222.6671037","0.03953125","0.0286036818013","0.05"
"21.0","16.0","10454.865116","0.0","19.0","0.0","198642.437204","0.0","9932.12186018","0.0","0.0","0.05"
"22.0","0.0","8762.40861993","640.0","448.0","5607941.51675","3925559.06173","160047.969312","196277.953086","0.035","0.0285395218252","0.05"
"22.0","7.0","10206.263738","0.0","23.0","0.0","234744.065974","0.0","11737.2032987","0.0","0.0","0.05"
"22.0","15.0","10580.1550794","0.0","1.0","0.0","10580.1550794","0.0","529.007753972","0.0","0.0","0.05"
"22.0","16.0","11435.0824856","0.0","23.0","0.0","263006.897169","0.0","13150.3448584","0.0","0.0","0.05"
"22.0","18.0","10583.7204973","0.0","49.0","0.0","518602.304367","0.0","25930.1152183","0.0","0.0","0.05"
"TOTAL","","348264.320868","21420.0","14160.0","58722184.0913","48499938.0201","1667013.16862","2605418.14679","0.0443685497587","0.0283881329419","0.0537200304403"
